,item_id,user_id,rating_id
0,206,1,9
1,1014,1,3
2,231,1,7
3,725,1,8
4,1148,1,2
5,514,1,2
6,352,1,4
7,175,1,2
8,1314,1,6
9,1305,1,8
10,45,1,4
11,739,1,3
12,1119,1,10
13,587,1,2
14,371,1,10
15,742,1,8
16,517,1,8
17,81,1,2
18,768,1,8
19,9,1,10
20,392,1,9
21,470,1,3
22,847,1,8
23,1019,1,1
24,143,1,7
26,1188,1,6
27,286,1,7
28,1235,1,9
29,1290,1,8
30,769,1,9
31,895,1,8
32,101,1,4
33,850,1,5
34,1216,1,1
35,729,1,1
36,1111,1,7
37,789,1,6
38,265,1,9
39,337,1,2
40,583,1,5
41,113,1,6
42,1236,1,10
43,791,1,4
44,239,1,6
45,1248,1,10
46,411,1,8
47,1051,1,8
48,1152,1,8
49,755,1,1
50,1213,1,1
51,607,1,2
52,1153,1,9
53,204,1,2
54,920,1,7
55,496,1,5
56,530,1,3
57,216,1,6
58,304,1,7
59,151,1,6
60,1146,1,10
61,299,1,3
62,339,1,1
63,968,1,1
64,293,1,6
65,154,1,7
66,488,1,10
67,205,1,1
68,1025,1,1
69,684,1,8
70,660,1,7
71,1307,1,5
72,213,1,2
73,270,1,3
74,572,1,9
75,588,1,7
76,383,1,4
77,362,1,4
78,105,1,4
79,65,1,6
80,507,1,3
81,510,1,2
82,140,1,2
83,1173,1,2
84,552,1,8
85,1306,1,9
86,1304,1,7
87,403,1,3
88,1222,1,7
89,1091,1,9
90,313,1,6
91,497,1,8
92,1196,1,7
93,1063,1,2
94,563,1,9
95,466,1,3
96,673,2,1
97,1281,2,1
98,595,2,8
99,1137,2,10
100,196,2,1
101,730,2,1
102,1021,2,8
103,41,2,2
104,350,2,2
105,486,2,2
106,422,2,1
107,584,2,5
108,983,2,8
109,80,2,2
110,265,2,2
111,294,2,2
112,182,2,4
113,156,2,9
114,607,2,7
115,469,2,8
116,1019,2,1
117,1076,2,1
118,322,2,7
119,1106,2,10
120,1269,2,3
121,237,2,1
122,99,2,8
123,1212,2,8
124,574,2,6
125,575,2,2
126,95,2,8
127,711,2,9
128,1062,2,1
129,109,2,9
130,659,2,7
131,1298,2,1
132,260,2,8
133,597,2,6
134,1079,2,9
135,744,2,7
136,582,2,8
137,987,2,1
138,992,2,1
139,669,2,7
140,1178,2,2
141,1145,2,9
142,654,2,7
143,7,2,7
144,1229,2,8
145,420,2,7
146,982,2,3
147,772,2,2
148,799,2,9
149,691,2,2
150,497,2,7
151,1131,2,10
152,282,2,2
153,118,2,2
154,356,2,2
155,483,2,9
156,872,2,9
157,914,2,1
158,255,2,2
159,553,2,3
160,971,2,2
161,943,2,2
162,189,2,6
163,991,2,1
164,249,2,2
165,24,2,6
166,776,2,8
167,940,2,2
168,693,2,4
169,1141,2,6
170,608,2,7
171,412,2,2
172,1184,2,2
173,501,2,7
174,123,2,2
175,1180,2,2
176,854,2,1
177,521,2,7
178,217,2,8
179,727,2,10
180,1001,2,5
181,141,2,2
182,656,2,7
183,22,2,9
184,42,2,7
185,829,2,7
186,959,2,7
187,1043,2,9
188,791,2,7
189,391,2,2
190,1216,2,7
191,894,2,10
192,171,2,2
193,443,2,6
194,1026,2,8
195,286,2,2
196,594,2,7
197,936,2,2
198,990,2,1
199,757,2,2
200,1190,2,5
201,96,6,4
202,732,6,9
203,778,6,7
204,170,6,3
205,1309,6,2
206,761,6,3
207,805,6,2
208,1061,6,2
209,653,6,5
210,56,6,7
211,1067,6,4
212,112,6,5
213,757,6,4
214,773,6,1
215,529,6,7
216,156,6,2
217,973,6,9
218,569,6,7
219,418,6,6
220,581,6,8
221,257,6,5
222,1037,6,6
223,683,6,7
224,431,6,7
225,109,7,10
226,1250,7,9
227,929,7,10
228,633,7,2
229,456,7,7
230,987,7,1
231,285,7,3
232,1277,7,2
233,955,7,10
234,310,7,2
235,1185,7,4
236,1099,7,2
237,455,7,2
238,598,7,5
239,1044,8,2
240,1123,8,2
241,911,8,6
242,1046,8,3
243,369,8,2
244,759,8,8
245,1317,8,5
246,674,8,9
247,177,8,5
248,1280,8,2
249,550,8,10
250,297,8,9
251,2,8,8
252,149,8,7
253,464,8,5
254,514,8,8
255,1111,8,7
256,1154,8,10
257,338,8,2
258,198,8,2
259,110,8,7
260,121,8,7
261,878,8,10
262,717,8,8
263,446,8,3
264,522,8,8
265,359,8,6
266,333,8,2
267,879,8,10
268,963,8,9
269,1261,8,2
270,1094,9,2
271,250,9,8
272,839,9,3
273,358,9,2
274,873,9,1
275,834,9,2
276,1222,9,2
277,1121,9,3
278,630,9,8
279,1067,9,8
280,1027,9,4
281,436,9,2
282,819,9,2
283,911,9,3
284,24,9,3
285,113,9,3
286,133,9,2
287,1104,9,8
288,1141,9,2
289,16,9,5
290,1074,9,2
291,1205,9,3
292,1181,9,3
293,877,9,7
294,1259,9,2
295,475,9,2
296,1140,9,7
297,613,9,9
298,324,9,9
299,229,9,4
300,778,9,2
301,525,9,4
302,1310,9,1
303,908,9,8
304,298,9,2
305,39,9,3
306,123,9,3
307,554,9,3
308,975,9,2
309,721,9,10
310,661,9,9
311,310,9,2
312,1087,9,6
313,762,9,2
314,407,9,2
315,237,9,3
316,101,9,2
317,740,9,9
318,185,10,9
319,728,10,7
320,1006,10,1
321,219,10,8
322,329,10,2
323,40,10,7
324,577,10,2
325,988,10,1
326,253,10,10
327,685,10,2
328,500,10,7
329,842,10,9
330,702,10,10
331,28,10,7
332,516,10,7
333,1243,10,9
334,898,10,9
335,1149,10,10
336,1127,10,5
337,436,10,3
338,1016,10,9
339,914,10,3
340,888,10,9
341,1107,10,6
342,730,10,1
343,917,10,6
344,26,10,7
345,466,10,8
346,632,10,2
347,1214,10,7
348,575,10,7
349,592,10,9
350,840,10,6
351,793,12,2
352,1175,12,3
353,46,12,8
354,390,12,7
355,144,12,8
356,342,12,2
357,430,12,8
358,40,12,7
359,1180,12,7
360,814,12,4
361,1225,12,3
362,228,12,8
363,269,12,6
364,677,12,8
365,836,12,8
366,420,12,7
367,299,12,8
368,410,12,3
369,178,12,8
370,335,12,2
371,963,12,7
372,62,12,3
373,770,12,2
374,279,12,6
375,1029,12,2
376,746,12,3
377,103,12,9
378,294,12,7
379,704,12,3
380,802,12,2
381,841,12,7
382,1050,12,2
383,552,12,5
384,578,12,2
385,976,13,10
386,698,13,2
387,213,13,2
388,161,13,2
389,600,13,2
390,452,13,2
391,658,13,2
392,781,13,2
393,936,13,2
394,985,13,2
395,734,13,2
396,636,13,2
397,1035,13,2
398,351,13,2
399,403,13,2
400,1204,13,7
401,749,13,2
402,83,13,2
403,989,13,1
404,462,13,2
405,508,13,2
406,18,13,2
