item_id,user_id,rating_id
206,1,9
1014,1,3
231,1,7
725,1,8
1148,1,2
514,1,2
352,1,4
175,1,2
1314,1,6
1305,1,8
447,1,10
45,1,4
739,1,3
1119,1,10
587,1,2
371,1,10
742,1,8
517,1,8
81,1,2
768,1,8
9,1,10
392,1,9
470,1,3
847,1,8
1019,1,1
143,1,7
1191,1,10
1188,1,6
286,1,7
1235,1,9
1290,1,8
1274,1,9
769,1,9
895,1,8
101,1,4
850,1,5
1216,1,1
729,1,1
1111,1,7
789,1,6
265,1,9
337,1,2
583,1,5
113,1,6
1236,1,10
791,1,4
239,1,6
1248,1,10
411,1,8
1051,1,8
1152,1,8
755,1,1
1213,1,1
607,1,2
1153,1,9
204,1,2
920,1,7
496,1,5
530,1,3
216,1,6
304,1,7
517,1,6
151,1,6
1146,1,10
299,1,3
339,1,1
968,1,1
587,1,3
293,1,6
154,1,7
488,1,10
205,1,1
1025,1,1
684,1,8
660,1,7
1307,1,5
213,1,2
270,1,3
572,1,9
588,1,7
383,1,4
362,1,4
105,1,4
65,1,6
507,1,3
510,1,2
140,1,2
1173,1,2
552,1,8
1306,1,9
1304,1,7
1025,1,1
403,1,3
1222,1,7
1091,1,9
313,1,6
497,1,8
304,1,9
1196,1,7
1063,1,2
563,1,9
466,1,3
673,2,1
1281,2,1
595,2,8
1137,2,10
196,2,1
730,2,1
1021,2,8
41,2,2
350,2,2
486,2,2
422,2,1
584,2,5
983,2,8
80,2,2
265,2,2
294,2,2
182,2,4
156,2,9
607,2,7
469,2,8
1019,2,1
1076,2,1
322,2,7
1106,2,10
1269,2,3
237,2,1
99,2,8
1212,2,8
574,2,6
575,2,2
95,2,8
711,2,9
1062,2,1
109,2,9
659,2,7
1298,2,1
260,2,8
41,2,2
597,2,6
1079,2,9
744,2,7
582,2,8
987,2,1
992,2,1
711,2,8
669,2,7
1178,2,2
1145,2,9
654,2,7
260,2,7
7,2,7
1229,2,8
420,2,7
982,2,3
772,2,2
799,2,9
691,2,2
497,2,7
1131,2,10
282,2,2
118,2,2
356,2,2
483,2,9
872,2,9
914,2,1
255,2,2
553,2,3
971,2,2
943,2,2
189,2,6
991,2,1
249,2,2
24,2,6
776,2,8
940,2,2
693,2,4
1141,2,6
608,2,7
412,2,2
1184,2,2
501,2,7
123,2,2
1180,2,2
854,2,1
521,2,7
991,2,1
217,2,8
727,2,10
1001,2,5
141,2,2
656,2,7
22,2,9
42,2,7
829,2,7
959,2,7
1043,2,9
791,2,7
391,2,2
1216,2,7
894,2,10
171,2,2
443,2,6
1026,2,8
286,2,2
594,2,7
936,2,2
182,2,5
990,2,1
757,2,2
1190,2,5
